,title_source,author_list,publisher,pub_date,doi,id,abstract,acknowledgements,journal_title,volume,issue,times_cited,mesh_terms,cited_dimensions_ids,title
88,Divergent evidence on free riding: An experimental examination of possible explanations,"R. Mark Isaac, James M. Walker, Susan H. Thomas",Springer Nature,1984-01,10.1007/bf00140829,pub.1013143800,"Summary, conclusions and extensionsThe most important single observation from this research is the similarity between our wide range of results and the multitude of seemingly divergent conclusions about free riding from previous experimental results. Even when defined in the restrictive manner of this paper, free riding is neither absolutely all pervasive nor always nonexistent. This ‘intermediate’ result is not the same as a general theory which states that the predictable result of public goods provision processes is always weak free riding. The extremes of strong free riding and near-Lindahl optimal behavior can and do occur.These experiments further demonstrate that this diversity of outcome need not be attributed to inexplicable randomness. At least for the case of the voluntary contribution mechanism, there are identifiable factors which make free riding more or less likely to occur. Two such factors have been identified here: (i) the replication environment and (ii) per capita marginal return. This latter parameter can be related to although it is not equivalent to group size.This research is not intended to ‘model’ a precise quantitative prediction about free riding. Having identified, in a general manner, these effects, the groundwork is set for many interesting questions in future research:Although the qualitative results more often suggest that ‘free riding’ behavior increases with experience, there are no statistically supported conclusions. A design focusing on the factor of experience could reveal whether this effect is sustained under more extensive replication.The influence of marginal per capita return is striking. Why is there a difference when zero contribution is a single period dominant strategy for either level (.3 or .75)? How extensive is the interaction of replication and marginal per capita return? We are currently conducting a new set of experiments focusing upon these issues.Given the power of the marginal per capita return, what happens in situations in which this parameter varies, as in a quadratic return function?Why did some individuals contribute positive amounts even in the 10th period when the learning and multiperiod gaming aspects were presumably of minimal effect? We conjecture that this represents a core of people for whom utility functions are not completely selfish or who otherwise wish to believe in ‘good guy’ fashion. However, it is possible that some individuals were still learning their single period dominant strategy or did not correctly notice the presence of a truly single period decision environment. In any case, it appears that marginal per capita return again plays a role.With the group production technology held constant, increasing group size (with a concomitant decrease in marginal per capita return) has the expected effect of increasing ‘free riding’ type behavior. Standardizing for marginal per capita return, the effect of group size becomes ambiguous, and shows evidence of reversing. This aspect of group size effects is another area for future research. Our ongoing research will also look at this question.What can be said about economies which lack condition D*? If individuals have no dominant strategy, the very concept of ‘free riding’ becomes poorly defined. Definitions and predictions must explicitly state what assumptions about expectations and what solution concepts are being employed.In summary, we find that there is no successful general theory which states that all individuals always free ride a lot, always free ride a little, or never free ride. Under the appropriate circumstances, we find people who will do any or all of the above. This research gives some guidelines as to why and when free riding can be expected. Further work in both theory and experiments may be able to tell even more.",,Public Choice,43,2,379,,"['pub.1069623433', 'pub.1058546435', 'pub.1015895530', 'pub.1058546592', 'pub.1035867917', 'pub.1002026222']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
89,Provision of step‐level public goods with continuous contribution,"Ramzi Suleiman, Amnon Rapoport",Wiley,1992-04,10.1002/bdm.3960050205,pub.1034681505,"Twelve groups of five subjects each participated in a nonco-operative game in which each member of a group receives the same endowment and must then decide independently and anonymously how much of it to contribute to the group benefit. Regardless of the size of his or her contribution, each member receives the same reward if, and only if, the sum of contributions is equal to or larger than a prespecified provision threshold. The results show that the level of contribution depends on the provision threshold, and that it increases when contributions are not restricted to be all-or-none. We present, discuss, and competitively test two models for this class of social dilemmas, one postulating maximization of expected utility and the other yielding an equitable solution.",,Journal of Behavioral Decision Making,5,2,70,,"['pub.1040529180', 'pub.1013955276', 'pub.1031873810', 'pub.1069668303', 'pub.1028556807', 'pub.1069989874', 'pub.1024201863', 'pub.1000397883', 'pub.1031733113', 'pub.1035155210', 'pub.1022061026', 'pub.1035088760', 'pub.1054081587', 'pub.1041142983', 'pub.1009184830', 'pub.1063626285', 'pub.1013702671', 'pub.1069668850', 'pub.1033036737', 'pub.1021312588', 'pub.1069846090']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
90,Group size and the voluntary provision of public goods Experimental evidence utilizing large groups,"R.Mark Isaac, James M. Walker, Arlington W. Williams",Elsevier,1994-05,10.1016/0047-2727(94)90068-x,pub.1002501103,"New experimental evidence extending the investigation of free-riding behavior in public goods provision is presented. Procedures are developed to deal with the logistical problems inherent in experiments involving many subjects. Data from Voluntary Contribution Mechanism experiments are reported utilizing group sizes of 4, 10, 40 and 100. THese experiments provide replicable results that contradict the widely held view that a group's ability to provide the optimal level of a pure public good is inversely related to group size. On the contrary, groups of size 40 and 100 provided the public good more efficiently than groups of size 4 and 10. Several possible alternative explanations are discussed.",,Journal of Public Economics,54,1,451,,"['pub.1019337639', 'pub.1069624268', 'pub.1045638070', 'pub.1058546435', 'pub.1019147303', 'pub.1041051258', 'pub.1013143800', 'pub.1019698618', 'pub.1015877368', 'pub.1058546592', 'pub.1058606193', 'pub.1069848273', 'pub.1058575143', 'pub.1029749661', 'pub.1016579334', 'pub.1042752061', 'pub.1027116397', 'pub.1037493457']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
91,Cooperating If One&#x27;s Goals Are Collective‐Based: Social Identification Effects in Social Dilemmas as a Function of Goal Transformation1,"David De Cremer, Daan Van Knippenberg, Eric Van Dijk, Esther Van Leeuwen",Wiley,2008-06,10.1111/j.1559-1816.2008.00359.x,pub.1006504236,"Prior studies of the effect of group identification on cooperation in social dilemmas have advanced 2 competing accounts: the goal-transformation hypothesis, which holds that identification makes personal and collective goals interchangeable; and the goal-amplification hypothesis, which states that identification induces positive expectations about others’ cooperative behavior. However, prior studies have neglected to assess the process measures necessary to pit the one account against the other. The present study showed that the effect of identification was moderated by participants’ social value orientation. Identification influenced proselfs’ cooperation more than prosocials’ cooperation. Mediational analyses further showed that the effect of our identification manipulation was mediated by participants’ sense of collective self, and not by their expectations.",,Journal of Applied Social Psychology,38,6,44,,"['pub.1073287683', 'pub.1007590264', 'pub.1026090196', 'pub.1003400446', 'pub.1031873810', 'pub.1005336122', 'pub.1043001160', 'pub.1005814685', 'pub.1029924726', 'pub.1038396774', 'pub.1024012146', 'pub.1026694145', 'pub.1028038344', 'pub.1003817922', 'pub.1046292620', 'pub.1003749494', 'pub.1011686955', 'pub.1057905922', 'pub.1010090480', 'pub.1005415554', 'pub.1037288527', 'pub.1018923612', 'pub.1026785235', 'pub.1003549553', 'pub.1046737384', 'pub.1011343128', 'pub.1010865547', 'pub.1017267841', 'pub.1027310794', 'pub.1022818952', 'pub.1001835066', 'pub.1025293489', 'pub.1021515976', 'pub.1013702671', 'pub.1025122948', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
92,The Predictive Ability of Social Values in Resource Dilemmas and Public Goods Games,Craig D. Parks,SAGE Publications,1994-08,10.1177/0146167294204010,pub.1011343128,"Social values, or orientations toward specific goals, have been found to predict choice behavior in prisoner's dilemma-type games. However, their predictive ability in other types of social dilemmas (specifically, public goods and resource dilemmas) is not well established. This study compared the predictive ability of several methods of assessing social values, as well as Yamagishi's Trust Scale and an older measure of trust, the Fascism (F) Scale. Social values, as assessed by Knight and Dubro's judgmental measurement technique, were found to be predictive of resource dilemma behavior; trust, measured with Yamagishi's Trust Scale, predicted contribution to public goods. The trust and social values scales were not correlated, suggesting that they are distinct concepts; however, the social value scales did not correlate with each other. A testable explanation for the results, centering on the nature of payoffs in the different games, is offered.",,Personality and Social Psychology Bulletin,20,4,124,,"['pub.1050617223', 'pub.1003499096', 'pub.1014031821', 'pub.1040529180', 'pub.1013955276', 'pub.1003400446', 'pub.1063626379', 'pub.1001878944', 'pub.1038492659', 'pub.1038731527', 'pub.1032088172', 'pub.1010254799', 'pub.1024201863', 'pub.1019283293', 'pub.1074229006', 'pub.1018923612', 'pub.1004502860', 'pub.1063626303', 'pub.1016236028', 'pub.1002735289', 'pub.1042537319', 'pub.1018800669', 'pub.1012578594', 'pub.1049051451', 'pub.1013702671', 'pub.1025122948', 'pub.1034656943', 'pub.1033036737', 'pub.1012928831']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
93,"That Still, Small Voice: Commitment to Cooperate as an Internalized Versus a Social Norm","Norbert L. Kerr, Jennifer Garst, Donna A. Lewandowski, Susan E. Harris",SAGE Publications,1997-12,10.1177/01461672972312007,pub.1063741174,"Recent research suggests that group discussion of a social dilemma may increase cooperative behavior because group members honor the commitments they make during the group discussion. This article asks whether people honor such commitments because of the social consequences of violating them or because of the internal personal consequences of doing so. Experiment 1 replicated and extended previous research showing that the anonymity of one's cooperative/noncooperative choice does not moderate the effect of group discussion. Experiment 2 examined the possibility that commitments to cooperate were kept due to mindless adherence to a prior decision, rather than to an internalized norm. Contrary to the former possibility, enhancing mindfulness did not moderate the effect of group discussion. The scope and implications of personal norms of commitment are discussed.",,Personality and Social Psychology Bulletin,23,12,96,,"['pub.1037087187', 'pub.1054542915', 'pub.1027636212', 'pub.1041673788', 'pub.1031873810', 'pub.1012738464', 'pub.1001878944', 'pub.1005336122', 'pub.1046189797', 'pub.1007474827', 'pub.1054865911', 'pub.1047358767', 'pub.1030129284', 'pub.1042824146', 'pub.1018743480', 'pub.1012917368', 'pub.1039157658', 'pub.1011239732', 'pub.1052657612', 'pub.1000397883', 'pub.1006080792', 'pub.1018923612', 'pub.1042733896', 'pub.1102895798', 'pub.1014249595', 'pub.1080798853', 'pub.1035937488', 'pub.1039180689']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
94,Social Dilemmas: The Anatomy of Cooperation,Peter Kollock,Annual Reviews,1998-08,10.1146/annurev.soc.24.1.183,pub.1046274892,"The study of social dilemmas is the study of the tension between individual and collective rationality. In a social dilemma, individually reasonable behavior leads to a situation in which everyone is worse off. The first part of this review is a discussion of categories of social dilemmas and how they are modeled. The key two-person social dilemmas (Prisoner's Dilemma, Assurance, Chicken) and multiple-person social dilemmas (public goods dilemmas and commons dilemmas) are examined. The second part is an extended treatment of possible solutions for social dilemmas. These solutions are organized into three broad categories based on whether the solutions assume egoistic actors and whether the structure of the situation can be changed: Motivational solutions assume actors are not completely egoistic and so give some weight to the outcomes of their partners. Strategic solutions assume egoistic actors, and neither of these categories of solutions involve changing the fundamental structure of the situation. Solutions that do involve changing the rules of the game are considered in the section on structural solutions. I conclude the review with a discussion of current research and directions for future work.",,Annual Review of Sociology,24,1,987,,"['pub.1050617223', 'pub.1064531158', 'pub.1014377945', 'pub.1007068951', 'pub.1040529180', 'pub.1031873810', 'pub.1069757815', 'pub.1019552185', 'pub.1063626349', 'pub.1019590876', 'pub.1062537069', 'pub.1001747615', 'pub.1074229006', 'pub.1062498422', 'pub.1016236028', 'pub.1098701367', 'pub.1033118347', 'pub.1012865105', 'pub.1037735540', 'pub.1014031821', 'pub.1090450117', 'pub.1029774006', 'pub.1069758103', 'pub.1070180198', 'pub.1070093874', 'pub.1070093601', 'pub.1019657304', 'pub.1051661955', 'pub.1098695330', 'pub.1001622421', 'pub.1127964866', 'pub.1053759201', 'pub.1020412108', 'pub.1098731748', 'pub.1002501103', 'pub.1069757814', 'pub.1020575840', 'pub.1099258654', 'pub.1027116397', 'pub.1019337639', 'pub.1016559388', 'pub.1069758179', 'pub.1063626285', 'pub.1041051258', 'pub.1063768402', 'pub.1005395330', 'pub.1047912443', 'pub.1056512557', 'pub.1069651192', 'pub.1073287457', 'pub.1003571719', 'pub.1036292177', 'pub.1053877305', 'pub.1038492659', 'pub.1018368129', 'pub.1039394278', 'pub.1058548527', 'pub.1069624268', 'pub.1034681505', 'pub.1019637620', 'pub.1069868977', 'pub.1053905037', 'pub.1015832902', 'pub.1004774956', 'pub.1053813466', 'pub.1019885598', 'pub.1033036737', 'pub.1037087187', 'pub.1087189910', 'pub.1034943790', 'pub.1015045367', 'pub.1018268290', 'pub.1031807992', 'pub.1024201863', 'pub.1000162530', 'pub.1057905922', 'pub.1089240897', 'pub.1046284315', 'pub.1013143800', 'pub.1063543409', 'pub.1069668299', 'pub.1058603240', 'pub.1019024475', 'pub.1010833664', 'pub.1002736525', 'pub.1016579334']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
95,Group Discussion and Cooperation in Social Dilemmas,"Kelly S. Bouas, S. S. Komorita",SAGE Publications,1996-11,10.1177/01461672962211005,pub.1045142327,"Face-to-face discussion has been shown to increase cooperative behavior in social dilemmas. Two general explanations of this effect were tested: group identity (concern for fellow group members' outcomes) and perception of consensus (degree of agreement perceived among group members on how to respond to the dilemma). Undergraduate students participated in four person groups in one of four experimental conditions. The four conditions differed in common fate (interdependent outcome in a lottery), face-to-face discussion of the dilemma, discussion of an important (irrelevant) issue, and no discussion (control). Results indicate that (a) the common fate manipulation neither aroused group identity nor enhanced cooperation, (b) group identity may not be sufficient to elicit cooperation in a social dilemma, and (c) the most plausible explanation of group discussion effects is members' perceived consensus to cooperate.",,Personality and Social Psychology Bulletin,22,11,92,,"['pub.1063626283', 'pub.1018923612', 'pub.1035992187', 'pub.1031873810', 'pub.1050649741', 'pub.1012738464', 'pub.1005336122', 'pub.1039180689', 'pub.1045331490', 'pub.1002555828', 'pub.1043001160', 'pub.1019590876', 'pub.1030899545', 'pub.1033036737', 'pub.1005415554', 'pub.1002026222']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
96,"Behavior, communication, and assumptions about other people&#x27;s behavior in a commons dilemma situation","Robyn M. Dawes, Jeanne McTavish, Harriet Shaklee",American Psychological Association (APA),1977,10.1037/0022-3514.35.1.1,pub.1002026222,"Two experiments investigated effects of communication on behavior in an 8-person commons dilemma of group vs individual gain. A total of 593 persons recruited through newspaper ads served as either participants or observers. Ss made a single choice involving a substantial amount of money (possible outcomes ranging from nothing to $10.50). In Exp I, 4 communication conditions (no communication, irrelevant communication, relevant communication, and relevant communication plus roll call) were crossed with the possibility of losing money. Ss chose self-serving (defecting) or cooperating responses and predicted responses of other group members. Defection was significantly higher in the no-communication and irrelevant-communication conditions than in relevant-communication and relevant-communication plus roll call conditions. Loss had no effect on decisions. Defectors expected much more defection than did cooperators. Exp II replicated irrelevant communication and cooperation effects and compared predictions of participants with those of observers. Variance of participants' predictions was significantly greater than that of observers, indicating that participants' decisions were affecting their expectations about others' behavior. (16 ref)",,Journal of Personality and Social Psychology,35,1,702,,"['pub.1025122948', 'pub.1019657304']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
97,A REVIEW OF THE INFLUENCE OF GROUP GOALS ON GROUP PERFORMANCE.,"A. M. O'LEARY-KELLY, J. J. MARTOCCHIO, D. D. FRINK",Academy of Management,1994-10-01,10.2307/256673,pub.1069993171,,,Academy of Management Journal,37,5,214,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
98,An Atlas of Interpersonal Situations,"Harold H. Kelley, John G. Holmes, Norbert L. Kerr, Harry T. Reis, Caryl E. Rusbult, Paul A. M. Van Lange",Cambridge University Press (CUP),2001-01-01,10.1017/cbo9780511499845,pub.1098680883,,,,,,328,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
99,Social identification effects in social dilemmas: a transformation of motives,"David De Cremer, Mark Van Vugt",Wiley,1999-11,10.1002/(sici)1099-0992(199911)29:7<871::aid-ejsp962>3.0.co;2-i,pub.1022818952,"Three experimental studies were conducted to examine two alternative explanations for the widely established positive effect of social identification in promoting cooperation in social dilemmas. We hypothesised that social identification effects could be either ascribed to (1) an increase in the value assigned to the collective good (i.e. goal-transformation hypothesis) or (2) an enhancement of trust in the cooperation of other group members (i.e. goal-amplification hypothesis). To disentangle these two explanations, we examined the effects of social identification on the contributions to a public good of people with a different social value orientation (i.e. pre-existing differences in preferred outcome distribution between self and others). Following the goal transformation hypothesis, we predicted that an increased group identification would raise contributions, in particular for people essentially concerned with their personal welfare (i.e. pro-self value orientation). Alternatively, following the goal amplification hypothesis it was expected that increased group identification would primarily affect decisions of people concerned with the collective welfare (i.e. prosocial value orientation). The results of all three studies provided support for the goal-transformation rather than goal-amplification hypothesis, suggesting that ‘selfish’ individuals can be encouraged to cooperate by increasing the salience of their group membership. Copyright © 1999 John Wiley & Sons, Ltd.",,European Journal of Social Psychology,29,7,316,,"['pub.1047096574', 'pub.1050617223', 'pub.1037087187', 'pub.1014031821', 'pub.1040529180', 'pub.1007590264', 'pub.1099317522', 'pub.1005336122', 'pub.1043001160', 'pub.1069668303', 'pub.1005814685', 'pub.1021312588', 'pub.1012510590', 'pub.1024012146', 'pub.1042723142', 'pub.1015045367', 'pub.1026694145', 'pub.1038629966', 'pub.1006674865', 'pub.1010254799', 'pub.1034006870', 'pub.1027032646', 'pub.1011686955', 'pub.1023419539', 'pub.1010090480', 'pub.1005415554', 'pub.1018923612', 'pub.1011552648', 'pub.1031820449', 'pub.1003549553', 'pub.1046737384', 'pub.1011343128', 'pub.1063626303', 'pub.1010865547', 'pub.1050152626', 'pub.1035958759', 'pub.1018827719', 'pub.1014249595', 'pub.1033234746', 'pub.1023600022', 'pub.1043447370', 'pub.1025293489', 'pub.1019885598', 'pub.1013702671', 'pub.1000773118', 'pub.1030899545', 'pub.1033036737', 'pub.1036089586', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
100,Social dilemmas as strong versus weak situations: Social value orientations and tacit coordination under resource size uncertainty,"Erik W. de Kwaadsteniet, Eric van Dijk, Arjaan Wit, David de Cremer",Elsevier,2006-07,10.1016/j.jesp.2005.06.004,pub.1012462781,"This study investigates how environmental uncertainty in resource dilemmas influences the decisions of participants differing in social value orientations. We argue that under resource size certainty people anchor their decisions on tacit coordination rules such as the equal division rule, whereas under resource size uncertainty people rely more on their own social value orientations to determine their choice behavior. The results corroborate our line of reasoning. When the size of the resource was certain, proselfs as well as prosocials anchored their decisions on the equal division rule. Under resource size uncertainty, the equal division rule appeared to lose its coordinating potential, inducing proselfs to harvest more than prosocials.",,Journal of Experimental Social Psychology,42,4,63,,"['pub.1050617223', 'pub.1012713213', 'pub.1014031821', 'pub.1014367999', 'pub.1033196019', 'pub.1021010490', 'pub.1019590876', 'pub.1027042951', 'pub.1044130908', 'pub.1042723142', 'pub.1002773156', 'pub.1034582388', 'pub.1006674865', 'pub.1005550954', 'pub.1003749494', 'pub.1001062742', 'pub.1004915033', 'pub.1046488803', 'pub.1016922459', 'pub.1042653274', 'pub.1049963917', 'pub.1046737384', 'pub.1011343128', 'pub.1050152626', 'pub.1017267841', 'pub.1026897379', 'pub.1049051451', 'pub.1032406895', 'pub.1025293489', 'pub.1001766994', 'pub.1013702671', 'pub.1033808907']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
101,The Free-Rider Problem in Intergroup Conflicts Over Step-Level and Continuous Public Goods,Gary Bornstein,American Psychological Association (APA),1992,10.1037/0022-3514.62.4.597,pub.1014249595,"Free riding is a paramount consideration in intergroup conflicts because the benefits associated with such conflicts are public goods with respect to the members of a competing group. To study the free-rider problem and its effects on conflict resolution, (a) intergroup conflicts are modeled as team games; (b) a new team game that models intergroup conflicts over continuous public goods is introduced and is contrasted with a recently developed game that simulates intergroup conflicts over step-level public goods; and (c) 2 experiments that compared the effects of communication in the 2 team games are reported. Experiment I shows that within-group discussion is highly effective in solving the intragroup dilemma in the step-level game but much less effective in the continuous game. In contrast, Experiment 2 shows that between-group communication is highly effective in solving the intergroup conflict in the continuous game but considerably less effective in the step-level game.",,Journal of Personality and Social Psychology,62,4,136,,"['pub.1006693449', 'pub.1064530209', 'pub.1005382810', 'pub.1031873810', 'pub.1028556807', 'pub.1025937162', 'pub.1039394278', 'pub.1039157658', 'pub.1005415554', 'pub.1000397883', 'pub.1033593429', 'pub.1114187597', 'pub.1017291867', 'pub.1046593908', 'pub.1033036737', 'pub.1019232864', 'pub.1031733113', 'pub.1003315654', 'pub.1002026222', 'pub.1011406292', 'pub.1002736525', 'pub.1069991313', 'pub.1039180689', 'pub.1026788742', 'pub.1021312588']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
102,Common Pool Resource Dilemmas under Uncertainty: Qualitative Tests of Equilibrium Solutions,"David V. Budescu, Amnon Rapoport, Ramzi Suleiman",Elsevier,1995-07,10.1006/game.1995.1029,pub.1052731855,"The Common Pool Resource (CPR) dilemma game is a single-stage noncooperative game in which n players share a CPR whose size, X, is a random variable with a commonly known probability distribution. We present the equilibrium solutions for CPR games in which X has a uniform distribution, players have power utility functions with a common parameter, c, and requests are made simultaneously or sequentially. Two experiments using groups of n = 5 players provide support for the major qualitative predictions of the model.",,Games and Economic Behavior,10,1,57,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
103,From Game Theory to Real Life: How Social Value Orientation Affects Willingness to Sacrifice in Ongoing Close Relationships,"Paul A. M. Van Lange, Christopher R. Agnew, Fieke Harinck, Gemma E. M. Steemers",American Psychological Association (APA),1997,10.1037/0022-3514.73.6.1330,pub.1023600022,"This research adopted an interdependence analysis of sacrifice, examining the link between commitment (i.e., the subjective experience of dependence and long-term orientation) and willingness to sacrifice in ongoing close relationships, and determining whether this link is moderated by preexisting individual differences in social value orientation (i.e., prosocial, individualistic, or competitive orientation). Consistent with hypotheses, results of 2 studies revealed both that willingness to sacrifice was associated with greater commitment and that this link was more pronounced among individualists than among prosocials. Results also revealed an association between one's own willingness to sacrifice and beliefs regarding the partner's willingness to sacrifice (this link was somewhat more pronounced among prosocials than among individualists) and one's own willingness to sacrifice and actual partner's willingness to sacrifice.",,Journal of Personality and Social Psychology,73,6,158,,"['pub.1050617223', 'pub.1014031821', 'pub.1040529180', 'pub.1024603792', 'pub.1036089586', 'pub.1032580440', 'pub.1003400446', 'pub.1050270161', 'pub.1037476636', 'pub.1032136499', 'pub.1010518077', 'pub.1041073317', 'pub.1041671897', 'pub.1049096613', 'pub.1010254799', 'pub.1029095994', 'pub.1042128030', 'pub.1052338597', 'pub.1011686955', 'pub.1035066878', 'pub.1019608859', 'pub.1063740948', 'pub.1018923612', 'pub.1063788091', 'pub.1005791319', 'pub.1012511814', 'pub.1012706317', 'pub.1030531218', 'pub.1032905335', 'pub.1046737384', 'pub.1024502183', 'pub.1019561543', 'pub.1026529292', 'pub.1050152626', 'pub.1022165362', 'pub.1036737060', 'pub.1029348137', 'pub.1051405116', 'pub.1049703658', 'pub.1006086297', 'pub.1022420562', 'pub.1049051451', 'pub.1070093776', 'pub.1012170576', 'pub.1013702671', 'pub.1000773118', 'pub.1034656943', 'pub.1050050633', 'pub.1070093696', 'pub.1049012862']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
104,Positional Order and Group Size Effects in Resource Dilemmas with Uncertain Resources,"David V. Budescu, Ramzi Suleiman, Amnon Rapoport",Elsevier,1995-03,10.1006/obhd.1995.1018,pub.1046118026,"We report the results of three experiments in which groups of players share a common resource pool whose size is a random variable with a commonly known distribution. We study a new information structure - called the positional order protocol - under which requests are made in an exogenously determined and commonly known order without disclosing the requests of previous players in the sequence. Mean individual requests under this protocol of play are compared with data gathered under the more familiar simultaneous protocol (simultaneously made requests) and sequential protocol (sequentially made requests with full disclosure of previous requests). Previously reported effects of the resource uncertainty on individual requests obtained under the simultaneous and sequential protocols are generalized across different group sizes. In contrast to the game-theoretical prediction, which does not distinguish between the simultaneous and positional order protocols, mean individual requests and position in the sequence are highly and significantly correlated. We conclude that position effects can be induced by temporal priority, even in the absence of differential information.",,Organizational Behavior and Human Decision Processes,61,3,62,,,Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
105,Social value orientation and intelligence: A test of the goal prescribes rationality principle,"Paul A. M. Van Lange, Wim B. G. Liebrand",Wiley,1991-07,10.1002/ejsp.2420210402,pub.1025293489,"The present study examines the influence of pre-existing individual differences in social value orentations, or preferences for certain patterns of outcomes to oneself and others (McClintock, 1978), on perceptions of rationality in a social dilemma. In Experiment 1 conducted in Groningen (the Netherlands), it was found that people with pro-social orientations expected more cooperation from another described as intelligent than from another described as unintelligent, whereas individualists and competitors expected relatively more cooperation from another described as unintelligent. The cross-cultural generalizability of this finding was examined and supported in Experiment 2 which was conducted in Santa Barbara (U.S.A.). Results from both studies are consistent with the Goal Prescribes Rationality Principle (Van Lange, Liebrand and Kuhlman, 1990) which assumes that people with pro-social (cooperative) orientations would perceive rationality in social dilemmas primarily from the collective perspective, whereas individualists and competitors would take a strong egocentric perspective on rationality. In addition, we found a strong relationship between expectations of other's cooperation and own cooperative behaviour when the other was described as intelligent. The strength of this relationship was reduced, particularly for individualists and competitors, when the other person was described as unintelligent.",,European Journal of Social Psychology,21,4,108,,"['pub.1005543328', 'pub.1050617223', 'pub.1014031821', 'pub.1015304557', 'pub.1040529180', 'pub.1031873810', 'pub.1006934906', 'pub.1017205767', 'pub.1010518077', 'pub.1004695039', 'pub.1032088172', 'pub.1027285563', 'pub.1069847383', 'pub.1011686955', 'pub.1006727507', 'pub.1010090480', 'pub.1018923612', 'pub.1039297526', 'pub.1053503807', 'pub.1023674877', 'pub.1028428286', 'pub.1049051451', 'pub.1063626285', 'pub.1013702671', 'pub.1025122948', 'pub.1034656943', 'pub.1036089586', 'pub.1019406912']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
106,Explaining Discussion-Induced Cooperation,"John M. Orbell, Alphons J. C. van de Kragt, Robyn M. Dawes",American Psychological Association (APA),1988,10.1037/0022-3514.54.5.811,pub.1039180689,"In a social dilemma game, a period of discussion among subjects substantially increases the incidence of cooperative choices. We conducted two experiments in an effort to explain this effect. Experiment 1 tested and rejected the hypothesis that discussion of the dilemma problem promotes generalized norms in favor of cooperation. Content analysis of discussion sessions in Experiment 1 suggested that promises to cooperate are important in an explanation of discussion's effect. Experiment 2 showed that promises to cooperate substantially increased cooperation rates, but only when everyone in the discussing group promised. We discuss one model in which discussion promotes group identity (as indicated by consensual promising) and therefore cooperation, and another in which discussion provides an opportunity for promise making, which—at least when it is universal—explains discussion's effect without any involvement of group identity.",,Journal of Personality and Social Psychology,54,5,347,,"['pub.1037087187', 'pub.1058546435', 'pub.1056482656', 'pub.1033118347', 'pub.1064400173', 'pub.1038279697', 'pub.1058546592', 'pub.1004984081', 'pub.1031873810', 'pub.1010833664', 'pub.1001878944', 'pub.1110457395', 'pub.1048948613', 'pub.1033036737', 'pub.1038396774', 'pub.1040429274', 'pub.1002026222']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
107,Motivational bases of choice in experimental games,"David M Messick, Charles G McClintock",Elsevier,1968-01,10.1016/0022-1031(68)90046-2,pub.1013702671,"The present study presents a motivational theory of choice behavior in game situations, and develops a method that provides a flexible means for comparing the relative dominance of the various social motives postulated to underlie choice behavior in such situations. An experiment is conducted to test a set of hypothesized relationships between two conditions of interpersonal set, “partner” and “opponent”; three conditions of cumulative display of scores, “own,” “joint,” and “difference”; six classes of decomposed games; and the subjects' actual choice behavior. It was observed that whereas set did not affect the subject's choice behavior, there was a highly significant interaction between the display conditions and the classes of games. Finally, the relative utility of an algebraic and a stochastic choice model were evaluated in terms of the data obtained in the study.",,Journal of Experimental Social Psychology,4,1,788,,"['pub.1102512257', 'pub.1069752190', 'pub.1041151008', 'pub.1046387152', 'pub.1099321222', 'pub.1045013091', 'pub.1029095994', 'pub.1050050357', 'pub.1040818668', 'pub.1034571443', 'pub.1102895412', 'pub.1081481220', 'pub.1023859207']",Conflict and Coordination in the Provision of Public Goods: A Conceptual Analysis of Continuous and Step-Level Games
